Status [1]	Topic	Objective Description	Baseline Value	Baseline Year	Final Value [2]	Final Year	Target	Movement Toward Target [3]	Movement Away From Baseline [4] (if movement not toward target)	Movement Statistically Significant [5][6]
2	Environmental Health	EH-15. New homes with radon-resistant construction (percent)	28.6	2007	36.0	2012	100.0	10.4	...	...
3	Environmental Health	EH-16.1. Schools with an indoor air quality management program (percent)	51.4	2006	46.4	2014	56.5	...	9.7	No
1	Environmental Health	EH-16.2. Schools with a mold management plan (percent)	67.0	2006	78.2	2014	73.7	167.2	...	Yes
3	Environmental Health	EH-16.3. Schools with a hazardous materials plan (percent)	85.9	2006	84.5	2014	94.5	...	1.6	No
3	Environmental Health	EH-16.4. Schools using spot treatments and baiting rather than widespread pesticide application (percent)	57.9	2006	54.5	2014	63.7	...	5.9	No
3	Environmental Health	EH-16.5. Schools marking areas treated with pesticides (percent)	56.2	2006	52.5	2014	61.8	...	6.6	No
4	Environmental Health	EH-16.6. Schools informing students and staff prior to pesticide application (percent)	65.4	2006	35.6	2014	71.9	...	45.6	Yes
4	Environmental Health	EH-16.7. Schools inspecting drinking water outlets for lead (percent)	55.7	2006	45.8	2014	61.3	...	17.8	Yes
4	Environmental Health	EH-16.8. Schools inspecting drinking water outlets for bacteria (percent)	58.8	2006	51.4	2014	64.7	...	12.6	Yes
4	Environmental Health	EH-16.9. Schools inspecting drinking water outlets for coliforms (percent)	55.2	2006	48.5	2014	60.7	...	12.1	Yes
5	Environmental Health	EH-18.1. U.S. homes with lead-based paint (number)	37,000,000	2005–2006	...		33,300,000	...	...	...
5	Environmental Health	EH-18.2. U.S. homes with paint-lead hazards (number)	15,300,000	2005–2006	...		13,770,000	...	...	...
5	Environmental Health	EH-18.3. U.S. homes with dust-lead hazards (number)	13,700,000	2005–2006	...		12,330,000	...	...	...
5	Environmental Health	EH-18.4. U.S. homes with soil-lead hazards (number)	3,800,000	2005–2006	...		3,420,000	...	...	...
2	Environmental Health	EH-19. Occupied housing units with moderate or severe physical problems (percent)	5.2	2007	5.1	2013	4.2	10.0	...	...
2	Environmental Health	EH-20.1. Exposure to arsenic (µg/g of creatinine, ages 6 years and over)	20.0	2003–2004	16.2	2015–2016	14.0	63.3	...	...
2	Environmental Health	EH-20.2. Exposure to cadmium (µg/L, ages 1 year and over)	1.60	2003–2004	1.22	2015–2016	1.12	79.2	...	...
1	Environmental Health	EH-20.3. Exposure to lead (µg/dL, ages 1 year and over)	4.20	2003–2004	2.75	2015–2016	2.94	115.1	...	...
1	Environmental Health	EH-20.4. Exposure to mercury among children (µg/L, ages 1–5 years)	1.80	2003–2004	1.06	2015–2016	1.26	137.0	...	...
5	Environmental Health	EH-20.5. Exposure to mercury among females (µg/L, ages 16–49 years)	4.60	2001–2002	...		3.22	...	...	...
2	Environmental Health	EH-20.9. Exposure to para-nitrophenol (methyl parathion and parathions) (µg/g of creatinine, ages 6 years and over)	2.98	2001–2002	2.62	2009–2010	2.02	37.5	...	...
1	Environmental Health	EH-20.10. Exposure to 3,4,6-trichloro-2-pyridinol (chlorpyrifos) (µg/g of creatinine, ages 6 years and over)	9.27	2001–2002	3.53	2009–2010	6.45	203.5	...	...
4	Environmental Health	EH-20.11. Exposure to 3-phenoxybenzoic acid (µg/g of creatinine, ages 6 years and over)	3.35	2001–2002	5.44	2009–2010	2.32	...	62.4	...
1	Environmental Health	EH-20.15. Exposure to bisphenol A (µg/g of creatinine, ages 6 years and over)	11.20	2003–2004	5.09	2013–2014	7.84	181.8	...	...
2	Environmental Health	EH-20.16. Exposure to perchlorate (µg/g of creatinine, ages 6 years and over)	12.4	2003–2004	10.7	2013–2014	8.4	42.5	...	...
1	Environmental Health	EH-20.17. Exposure to mono-n-butyl phthalate (µg/g of creatinine, ages 6 years and over)	91.6	2003–2004	36.1	2015–2016	64.1	202.0	...	...
5	Environmental Health	EH-20.18. Exposure to BDE 47, (2,2',4,4'-tetrabromodiphenyl ether) (ng/g of lipid, ages 12 years and over)	163.0	2003–2004	...		114.1	...	...	...
3	Environmental Health	EH-21. Use of information systems to monitor environmental health (number of states and District of Columbia)	23	2010	25	2017	51	7.1	...	...
2	Environmental Health	EH-22.1. Monitoring diseases or conditions caused by lead poisoning (number of states, territories, and District of Columbia)	37	2009	51	2011	56	73.7	...	...
4	Environmental Health	EH-22.2. Monitoring diseases or conditions caused by pesticide exposure (number of states, territories, and District of Columbia)	27	2009	24	2011	56	...	11.1	...
3	Environmental Health	EH-22.3. Monitoring conditions caused by mercury poisoning (number of states, territories, and District of Columbia)	23	2009	22	2011	56	...	4.3	...
3	Environmental Health	EH-22.4. Monitoring diseases or conditions caused by arsenic poisoning (number of states, territories, and District of Columbia)	19	2009	18	2011	56	...	5.3	...
4	Environmental Health	EH-22.5. Monitoring diseases or conditions caused by cadmium poisoning (number of states, territories, and District of Columbia)	19	2009	15	2011	56	...	21.1	...
4	Environmental Health	EH-22.6. Monitoring diseases or conditions caused by acute chemical poisoning (number of states, territories, and District of Columbia)	9	2009	8	2011	56	...	11.1	...
4	Environmental Health	EH-22.7. Monitoring diseases or conditions caused by carbon monoxide poisoning (number of states, territories, and District of Columbia)	16	2009	14	2011	56	...	12.5	...
5	Environmental Health	EH-23. Public schools located within 150 meters of major highways in the United States (percent)	3.3	2010–2011	...		3.0	...	...	...
1	Environmental Health	EH-24. Global burden of disease (number of deaths)	1,900,000	2005	1,400,000	2016	1,710,000	263.2	...	...
2	Family Planning	FP-1. Intended pregnancy (percent, females ages 15–44)	51.0	2002	54.7	2011	56.0	74.0	...	...
2	Family Planning	FP-2. Females experiencing pregnancy due to contraceptive failure (percent, ages 15–44)	12.4	2002	10.3	2006–2010	9.9	84.0	...	...
2	Family Planning	FP-3.1. Publicly funded family planning clinics offering a full range of contraceptive methods onsite (percent)	53.6	2010	59.1	2015	67.0	41.0	...	...
2	Family Planning	FP-3.2. Publicly funded family planning clinics providing emergency contraception onsite (percent)	79.7	2003	85.4	2015	87.7	71.3	...	...
3	Family Planning	FP-5. Pregnancies conceived within 18 months of a previous birth (percent, females ages 15–44)	33.1	2006–2010	33.8	2015–2017	29.8	...	2.1	No
4	Family Planning	FP-6. Contraceptive use at most recent sexual intercourse by females at risk of unintended pregnancy or use by their partners (percent, females ages 15–44)	83.3	2006–2010	79.6	2015–2017	91.6	...	4.4	Yes
3	Family Planning	FP-7.1. Sexually active females receiving reproductive health services (percent, ages 15–44)	78.6	2006–2010	78.0	2015–2017	86.5	...	0.8	No
4	Family Planning	FP-7.2. Sexually active males receiving reproductive health services (percent, ages 15–44)	14.8	2006–2010	11.1	2015–2017	16.3	...	25.0	Yes
1	Family Planning	FP-8.1. Pregnancy among adolescent females (per 1,000 population, ages 15–17)	40.2	2005	20.8	2013	36.2	485.0	...	...
1	Family Planning	FP-8.2. Pregnancy among adolescent females (per 1,000 population, ages 18–19)	116.2	2005	76.1	2013	104.6	345.7	...	...
3	Family Planning	FP-9.1. Adolescent females who have never had sexual intercourse (percent, ages 15–17)	72.9	2006–2010	76.4	2015–2017	80.2	47.9	...	No
3	Family Planning	FP-9.2. Adolescent males who have never had sexual intercourse (percent, ages 15–17)	72.0	2006–2010	76.9	2015–2017	79.2	68.1	...	No
3	Family Planning	FP-9.3. Adolescent females who have never had sexual intercourse (percent, ages 15 and under)	85.4	2006–2010	90.4	2015–2017	93.9	58.8	...	No
3	Family Planning	FP-9.4. Adolescent males who have never had sexual intercourse (percent, ages 15 and under)	84.3	2006–2010	89.3	2015–2017	92.7	59.5	...	No
3	Family Planning	FP-10.1. Condom use at first intercourse by sexually experienced adolescent females (percent, ages 15–19)	68.0	2006–2010	63.4	2015–2017	74.8	...	6.8	No
3	Family Planning	FP-10.2. Condom use at first intercourse by sexually experienced adolescent males (percent, ages 15–19)	79.6	2006–2010	82.4	2015–2017	87.6	35.0	...	No
3	Family Planning	FP-10.3. Condom use at last intercourse by sexually active adolescent females (percent, ages 15–19)	50.5	2006–2010	47.8	2015–2017	55.6	...	5.3	No
3	Family Planning	FP-10.4. Condom use at last intercourse by sexually active adolescent males (percent, ages 15–19)	74.1	2006–2010	67.7	2015–2017	81.5	...	8.6	No
1	Family Planning	FP-11.1. Condom and hormonal contraception use at first intercourse by sexually experienced adolescent females (percent, ages 15–19)	14.0	2006–2010	18.4	2011–2015	15.4	314.3	...	No
1	Family Planning	FP-11.2. Condom and hormonal contraception use at first intercourse by sexually experienced adolescent males (percent, ages 15–19)	15.7	2006–2010	20.4	2015–2017	17.3	293.7	...	No
3	Family Planning	FP-11.3. Condom and hormonal contraception use at last intercourse by sexually active adolescent females (percent, ages 15–19)	18.3	2006–2010	19.4	2011–2015	20.1	61.1	...	No
3	Family Planning	FP-11.4. Condom and hormonal contraception use at last intercourse by sexually active adolescent males (percent, ages 15–19)	32.1	2006–2010	29.8	2015–2017	35.3	...	7.2	No
4	Family Planning	FP-12.1. Adolescent females who received formal education on abstinence before age 18  (percent, ages 15–19)	88.7	2006–2010	81.3	2015–2017	97.6	...	8.3	Yes
3	Family Planning	FP-12.2. Adolescent males who received formal education on abstinence before age 18  (percent, ages 15–19)	82.5	2006–2010	78.6	2015–2017	90.8	...	4.7	No
4	Family Planning	FP-12.3. Adolescent females who received formal education on birth control before age 18  (percent, ages 15–19)	70.5	2006–2010	62.7	2015–2017	77.6	...	11.1	Yes
3	Family Planning	FP-12.4. Adolescent males who received formal education on birth control before age 18 (percent, 15–19)	60.8	2006–2010	61.7	2015–2017	66.9	14.8	...	No
4	Family Planning	FP-12.5. Adolescent females who received formal education on HIV/AIDS prevention before age 18 (percent, ages 15–19)	89.3	2006–2010	82.9	2015–2017	98.2	...	7.2	Yes
3	Family Planning	FP-12.6. Adolescent males who received formal education on HIV/AIDS prevention before age 18 (percent, ages 15–19)	87.9	2006–2010	85.7	2015–2017	96.7	...	2.5	No
3	Family Planning	FP-12.7. Adolescent females who received formal education on STDs before age 18 (percent, ages 15–19)	93.8	2006–2010	90.2	2015–2017	95.8	...	3.8	No
3	Family Planning	FP-12.8. Adolescent males who received formal education on STDs before age 18  (percent, ages 15–19)	91.8	2006–2010	93.1	2015–2017	93.8	65.0	...	No
3	Family Planning	FP-13.1. Adolescent females who talked to a parent or guardian about abstinence before age 18 (percent, ages 15–19)	61.4	2006–2010	59.5	2015–2017	67.5	...	3.1	No
3	Family Planning	FP-13.2. Adolescent males who talked to a parent or guardian about abstinence before age 18 (percent, ages 15–19)	41.2	2006–2010	39.2	2015–2017	45.3	...	4.9	No
3	Family Planning	FP-13.3. Adolescent females who talked to a parent or guardian about birth control before age 18 (percent, ages 15–19)	51.0	2006–2010	50.5	2015–2017	56.1	...	1.0	No
1	Family Planning	FP-13.4. Adolescent males who talked to a parent or guardian about birth control before age 18 (percent, ages 15–19)	29.2	2006–2010	32.9	2015–2017	32.1	127.6	...	No
3	Family Planning	FP-13.5. Adolescent females who talked to a parent or guardian about HIV/AIDS prevention before age 18 (percent, ages 15–19)	40.9	2006–2010	38.0	2015–2017	45.0	...	7.1	No
3	Family Planning	FP-13.6. Adolescent males who talked to a parent or guardian about HIV/AIDS prevention before age 18 (percent, ages 15–19)	37.8	2006–2010	35.0	2015–2017	41.6	...	7.4	No
3	Family Planning	FP-13.7. Adolescent females who talked to a parent or guardian  about STDs before age 18 (percent, ages 15–19)	54.2	2006–2010	54.4	2015–2017	59.6	3.7	...	No
3	Family Planning	FP-13.8. Adolescent males who talked to a parent or guardian about STDs before age 18 (percent, ages 15–19)	48.1	2006–2010	50.6	2015–2017	52.9	52.1	...	No
3	Family Planning	FP-14.1. States with income-eligibility levels for Medicaid family planning services at or above 133% of the poverty threshold (number)	41	2015	41	2017	51	...	0.0	...
4	Family Planning	FP-14.2. States with income-eligibility levels for Medicaid family planning services at or above 185% of the poverty threshold (number)	22	2015	19	2017	24	...	13.6	...
4	Family Planning	FP-15. Females receiving needed publicly supported contraceptive services and supplies (percent, ages 13–44 years)	53.8	2006	42.9	2015	64.5	...	20.3	...
3	Family Planning	FP-16.1. Females at risk of unintended pregnancy using effective contraception (percent, ages 20–44)	61.2	2011–2015	60.2	2015–2017	69.3	...	1.6	No
1	Family Planning	FP-16.2. Females at risk of unintended pregnancy using effective contraception (percent, ages 15–19)	45.4	2011–2015	56.3	2015–2017	54.1	125.3	...	Yes
2	Food Safety	FS-1.1. Campylobacter (italics) species infections transmitted commonly through food (per 100,000 population)	12.7	2006–2008	12.2	2017	8.5	11.9	...	...
2	Food Safety	FS-1.2. Escherichia coli (italics) O157:H7 infections commonly transmitted through food (per 100,000 population)	1.2	2006–2008	0.9	2017	0.6	50.0	...	...
3	Food Safety	FS-1.3. Listeria monocytogenes (italics) infections commonly transmitted through food (per 100,000 population)	0.3	2006–2008	0.3	2017	0.2	...	0.0	...
2	Food Safety	FS-1.4. Salmonella (italics) species infections commonly transmitted through food (per 100,000 population)	15.0	2006–2008	14.5	2017	11.4	13.9	...	...
2	Food Safety	FS-1.5. Postdiarrheal hemolytic uremic syndrome in children under age 5 years (per 100,000 population)	2.0	2006–2008	1.3	2016	1.0	70.0	...	...
4	Food Safety	FS-1.6. Vibrio (italics) species infections transmitted commonly through food (per 100,000 population)	0.3	2006–2008	0.5	2017	0.2	...	66.7	...
4	Food Safety	FS-1.7. Yersinia (italics) species infections transmitted through food (per 100,000 population)	0.4	2006–2008	0.5	2017	0.3	...	25.0	...
1	Food Safety	FS-2.1. Outbreak-associated infections due to Shiga toxin-producing E. coli (italics) O157, Campylobacter (italics), Listeria (italics), or Salmonella (italics) species associated with beef (number)	303	2006–2008	70	2017	273	776.7	...	...
1	Food Safety	FS-2.2. Outbreak-associated infections due to Shiga toxin-producing E. coli (italics) O157, Campylobacter (italics), Listeria (italics), or Salmonella (italics) species associated with dairy (number)	773	2006–2008	62	2017	696	923.4	...	...
1	Food Safety	FS-2.3. Outbreak-associated infections due to Shiga toxin-producing E. coli (italics) O157,  Campylobacter (italics), Listeria (italics), or Salmonella (italics) species associated with fruits and nuts (number)	779	2006–2008	492	2017	701	367.9	...	...
4	Food Safety	FS-2.4. Outbreak-associated infections due to Shiga toxin-producing E. coli (italics) O157, Campylobacter (italics), Listeria (italics), or Salmonella (italics) species associated with leafy vegetables (number)	215	2006–2008	274	2017	194	...	27.4	...
4	Food Safety	FS-2.5. Outbreak-associated infections due to Shiga toxin-producing E. coli (italics) O157,  Campylobacter (italics), Listeria (italics), or Salmonella (italics) species associated with poultry (number)	205	2006–2008	1,317	2017	185	...	542.4	...
4	Food Safety	FS-3.1. Nontyphoidal Salmonella (italics) from humans with reduced susceptibility to ciprofloxacin (fluoroquinolone) (percent of isolates)	2.6	2006–2008	7.5	2017	2.6	...	188.5	...
1	Food Safety	FS-3.2. Nontyphoidal Salmonella (italics) from humans resistant to ceftriaxone (third-generation cephalosporin) (percent of isolates)	3.3	2006–2008	3.3	2017	3.3	...	...	...
1	Food Safety	FS-3.3. Nontyphoidal Salmonella (italics) from humans resistant to gentamicin (percent of isolates)	1.9	2006–2008	0.9	2017	1.9	...	...	...
1	Food Safety	FS-3.4. Nontyphoidal Salmonella (italics) from humans resistant to ampicillin (percent of isolates)	10.3	2006–2008	8.8	2017	10.3	...	...	...
1	Food Safety	FS-3.5. Nontyphoidal Salmonella (italics) from humans resistant to 3 or more classes of antimicrobial agents (percent of isolates)	10.8	2006–2008	9.3	2017	10.8	...	...	...
4	Food Safety	FS-3.6. Campylobacter jejuni (italics) from humans resistant to erythromycin (percent of isolates)	1.6	2006–2008	2.8	2017	1.6	...	75.0	...
3	Food Safety	FS-4. Severe allergic reaction to foods among adults with food allergies (percent, ages 18 and over)	29.3	2006	23.4	2016	21.0	71.1	...	No
2	Food Safety	FS-5.1. Consumers who wash hands and surfaces often during food preparation (percent, ages 18 and over)	67.2	2006	69.8	2015–2016	73.9	38.8	...	Yes
3	Food Safety	FS-5.2. Consumers who separate (don’t cross-contaminate) foods during food preparation (percent, ages 18 and over)	88.6	2006	87.8	2015–2016	92.0	...	0.9	No
2	Food Safety	FS-5.3. Consumers who cook food to proper temperatures (percent, ages 18 and over)	36.9	2006	42.1	2015–2016	76.0	13.3	...	Yes
4	Food Safety	FS-5.4. Consumers who refrigerate foods promptly (percent, ages 18 and over)	88.1	2006	86.1	2015–2016	91.1	...	2.3	Yes
4	Food Safety	FS-6.1. Fast-food restaurants where employees practice proper handwashing (percent)	61.2	2008	41.6	2017–2018	69.3	...	32.0	Yes
1	Food Safety	FS-6.2. Fast-food restaurants where employees do not contact ready-to-eat foods with bare hands (percent)	73.7	2008	91.7	2017–2018	81.0	246.6	...	No
3	Food Safety	FS-6.3. Fast-food restaurants where food contact surfaces are properly cleaned and sanitized (percent)	58.3	2008	60.5	2017–2018	66.2	27.8	...	No
3	Food Safety	FS-6.4. Fast-food restaurants where foods are refrigerated properly (percent)	32.0	2008	38.1	2017–2018	39.6	80.3	...	No
3	Food Safety	FS-6.5. Fast-food restaurants where hot foods are held at the proper temperature (percent)	71.3	2008	75.4	2017–2018	79.0	53.2	...	No
3	Food Safety	FS-6.6. Full-service restaurants where employees practice proper handwashing (percent)	24.2	2008	25.6	2017–2018	31.4	19.4	...	No
1	Food Safety	FS-6.7. Full-service restaurants where employees do not contact ready-to-eat foods with bare hands (percent)	53.7	2008	75.6	2017–2018	62.1	260.7	...	No
3	Food Safety	FS-6.8. Full-service restaurants where food contact surfaces are cleaned and sanitized properly (percent)	36.5	2008	42.6	2017–2018	44.5	76.3	...	No
3	Food Safety	FS-6.9. Full-service restaurants where foods requiring refrigeration are held at the proper temperature (percent)	28.1	2008	20.2	2017–2018	35.7	...	28.1	No
1	Food Safety	FS-6.10. Full-service restaurants where hot foods are held at the proper temperature (percent)	60.2	2008	68.7	2017–2018	68.6	101.2	...	No
1	Genomics	G-1. Women with a family history of breast cancer, ovarian cancer, or both who receive genetic counseling (age-adjusted, percent, ages 18 and over)	34.6	2005	52.9	2010	38.1	522.9	...	No
2	Global Health	GH-3. Countries with a Global Disease Detection Center (number)	7	2009	10	2017	18	27.3	...	...
2	Global Health	GH-4. Public health professionals trained by Global Disease Detection programs (number, worldwide)	37,221	2009	123,909	2017	300,000	33.0	...	...
2	Global Health	GH-5. Pathogen-specific tests for which Global Disease Detection Centers build capacity (number)	156	2009	523	2017	1,000	43.5	...	...
2	Health Communication and Health Information Technology	HC/HIT-1.1. Persons whose health care provider gives easy-to-understand instructions (percent, ages 18 and over)	64.1	2011	69.2	2016	70.5	79.7	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-1.2. Persons whose health care provider asks how instructions will be followed (percent, ages 18 and over)	24.4	2011	30.5	2016	26.9	244.0	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-1.3. Persons whose health care provider offers help in filling out forms (percent, ages 18 and over)	14.8	2011	17.8	2016	16.3	200.0	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-2.1. Persons reporting that their health provider always listened carefully to them (percent, ages 18 and over)	59.0	2007	66.5	2016	65.0	125.0	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-2.2. Persons reporting that their health provider always explained things so they can understand (percent, ages 18 and over)	60.0	2007	67.1	2016	66.0	118.3	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-2.3. Persons reporting that their health provider always showed respect for what they had to say (percent, ages 18 and over)	62.0	2007	71.0	2016	68.2	145.2	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-2.4. Persons reporting that their health provider always spent enough time with them (percent, ages 18 and over)	49.0	2007	58.9	2016	54.0	198.0	…	Yes
3	Health Communication and Health Information Technology	HC/HIT-3 Persons reporting that their health care provider always involved them in health care decisions (percent, ages 18 and over)	51.6	2007	52.8	2017	56.8	23.1	…	No
1	Health Communication and Health Information Technology	HC/HIT-5.1. Persons using the Internet to keep track of personal health information (percent, ages 18 and over)	14.3	2007	28.1	2013	15.7	985.7	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-5.2. Persons using the Internet to communicate with their health care provider (percent, ages 18 and over)	13.6	2007	29.7	2013	15.0	1,150.0	…	Yes
1	Health Communication and Health Information Technology	HC/HIT-6.1. Persons with access to the Internet (percent, ages 18 and over)	68.5	2007	81.2	2017	75.4	184.1	…	Yes
4	Health Communication and Health Information Technology	HC/HIT-6.2. Persons with broadband Internet access (percent, ages 18 and over)	75.6	2011	55.9	2017	83.2	…	26.1	Yes
1	Health Communication and Health Information Technology	HC/HIT-6.3. Persons using mobile devices for Internet access (percent, ages 18 and over)	6.7	2007	56.8	2014	7.4	7,157.1	…	No
2	Health Communication and Health Information Technology	HC/HIT-7. Adults who talk to friends and family members about their health (percent, ages 18 and over)	79.5	2007	86.9	2017	87.5	92.5	…	Yes
5	Health Communication and Health Information Technology	HC/HIT-8.1. Health websites meeting three or more evaluation criteria for assessing information reliability (percent)	58.0	2014	…		70.5	…	…	…
5	Health Communication and Health Information Technology	HC/HIT-8.2. Proportion of health-related websites that follow established usability principles (percent)	42.0	2014	…		55.7	…	…	…
3	Health Communication and Health Information Technology	HC/HIT-9. Internet users who can easily access health information (percent, ages 18 and over)	40.9	2008	38.4	2017	45.0	…	6.1	No
1	Health Communication and Health Information Technology	HC/HIT-10. Office-based medical practices using electronic health records (percent)	25.0	2007	76.2	2017	27.5	2,048.0	…	No
1	Health Communication and Health Information Technology	HC/HIT-12.1. News stories on foodborne outbreaks and natural disasters that explain known threats to human health (percent)	83.5	2010–2011	97.4	2014–2015	88.9	257.4	…	Yes
3	Health Communication and Health Information Technology	HC/HIT-12.2. News stories on foodborne outbreaks and natural disasters that explain unknown threats to human health (percent)	21.4	2010–2011	18.1	2014–2015	27.5	…	15.4	No
1	Health Communication and Health Information Technology	HC/HIT-12.3. News stories on foodborne outbreaks and natural disasters that explain how the event occurred (percent)	15.5	2010–2011	23.3	2014–2015	20.9	144.4	…	Yes
3	Health Communication and Health Information Technology	HC/HIT-12.4. News stories on foodborne outbreaks and natural disasters that promote steps to reduce risk (percent)	25.4	2010–2011	26.7	2014–2015	31.8	20.3	…	No
3	Health Communication and Health Information Technology	HC/HIT-12.5. News stories on foodborne outbreaks and natural disasters that express empathy about the health risk (percent)	4.6	2010–2011	2.3	2014–2015	7.7	…	50.0	No
1	Health Communication and Health Information Technology	HC/HIT-12.6. News stories on foodborne outbreaks and natural disasters that express commitment from the responsible party (percent)	16.4	2010–2011	38.9	2014–2015	21.9	409.1	…	Yes
4	Health Communication and Health Information Technology	HC/HIT-13.1. State health departments using social marketing in health promotion and disease prevention programs (number)	8	2012	4	2019	50	…	50.0	…
5	Health-Related Quality of Life & Well-Being	HRQOL/WB-1.1. Adults self-reporting good or better physical health (age-adjusted percent, ages 18 and over)	78.8	2010	...		79.8	...	...	...
5	Health-Related Quality of Life & Well-Being	HRQOL/WB-1.2. Adults self-reporting good or better mental health (age-adjusted percent, ages 18 and over)	79.1	2010	...		80.1	...	...	...
2	Healthcare-Associated Infections	HAI-1. Central line-associated bloodstream infections (standardized infection ratio)	1.00	2015	0.74	2018	0.50	52.0	...	...
2	Healthcare-Associated Infections	HAI-2. Invasive health care-associated methicillin-resistant Staphylococcus (italics) aureus (italics) infections (standardized infection ratio)	1.00	2015	0.84	2018	0.50	32.0	...	...
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-1.1. Newborns receiving hearing screening before age 1 month (percent)	82.0	2007	95.0	2017	90.2	158.5	...	...
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-1.2. Infants with possible hearing loss receiving hearing evaluation before age 3 months (percent)	66.0	2007	75.0	2017	72.6	136.4	...	...
2	Hearing and Other Sensory or Communication Disorders	ENT—VSL-1.3. Infants with hearing loss receiving intervention services before age 6 months (percent)	50.0	2007	53.0	2017	55.0	60.0	...	...
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-2. Otitis media in children and adolescents (per 1,000 population, under age 18 years)	246.6	2007	256.1	2010	221.9	...	3.9	No
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-3.1. Use of hearing aids by adults with hearing loss (age adjusted, per 1,000 population, ages 20–69)	162.7	2007	...		179.0	...	...	...
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-3.2. New cochlear implants in deaf or very hard-of-hearing persons (per 10,000 population)	76.8	2004	...		84.5	...	...	...
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-3.3. Use of hearing aids by adults with hearing loss (per 1,000 population, ages 70 and over)	289.1	2007	324.6	2013	318.0	122.8	...	No
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-3.4. Use of assistive listening devices by adults with hearing loss (per 1,000 population, ages 70 and over)	100.0	2005–2006	81.3	2009–2010	110.0	...	18.7	No
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-4.1. Adults having a hearing examination in past 5 years (age-adjusted percent, ages 20–69)	21.3	2011–2012	...		23.4	...	...	...
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-4.2. Adults having a hearing examination in past 5 years (percent, ages 70 and over)	40.6	2003–2006	38.2	2007–2010	44.7	...	5.9	No
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-4.3. Adolescents having a hearing examination in past 5 years (percent, ages 12–19)	79.3	2005–2006	78.9	2009–2010	87.2	...	0.5	No
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-5. Persons referred for hearing evaluation and treatment by primary care providers (age adjusted, per 1,000 population, ages 18 years and over)	283.3	2007	355.6	2014	311.7	254.6	...	Yes
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-6.1. Adult use of ear protection devices when exposed to loud noises (age adjusted, per 1,000 population, ages 20–69)	483.0	2003–2004	...		531.3	...	...	...
4	Hearing and Other Sensory or Communication Disorders	ENT—VSL-6.2. Adolescent use of ear protection devices when exposed to loud noises (per 1,000 population, ages 12–19)	410.7	2005–2006	343.9	2009–2010	451.8	...	16.3	Yes
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-7. Adolescents with noise-induced hearing loss (both ears) (per 1,000 population, ages 12–19)	45.9	2005–2006	...		41.3	...	...	...
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-8. Adults with noise-induced hearing loss (both ears) (age adjusted, per 1,000 population, ages 20–69)	121.4	2003–2004	104.1	2011–2012	109.3	143.0	...	No
2	Hearing and Other Sensory or Communication Disorders	ENT—VSL-9.1. Adults bothered by tinnitus in the past 12 months who have seen a doctor (age-adjusted percent, ages 18 and over)	44.5	2007	48.5	2014	48.9	90.9	...	Yes
1	Hearing and Other Sensory or Communication Disorders	ENT—VSL-9.2. Adults with moderate to severe tinnitus in the past 5 years who have seen an audiologist or otolaryngologist (age-adjusted percent, ages 18 and over)	45.8	2007	61.8	2014	50.4	347.8	...	No
5	Hearing and Other Sensory or Communication Disorders	ENT—VSL-10. Adults with moderate to severe tinnitus who have tried appropriate treatments (age-adjusted percent, ages 18 and over)	14.7	2007	...		16.2	...	...	...
4	Hearing and Other Sensory or Communication Disorders	ENT—VSL-11. Adults with balance or dizziness problems in the past 12 months who have seen a health care provider (age-adjusted percent, ages 18 and over)	48.4	2008	45.3	2016	53.2	...	6.4	Yes
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-12. Adults with moderate to severe balance or dizziness problems who have seen a health care specialist (age-adjusted percent, ages 18 and over)	65.4	2008	70.7	2016	72.0	80.3	...	No
6	Hearing and Other Sensory or Communication Disorders	ENT—VSL-13.1. Treatment for children aged 3–17 years with balance disorders (percent)	30.7	2012	33.1	2016	...	...	...	...
3	Hearing and Other Sensory or Communication Disorders	ENT—VSL-13.2. Adults with moderate to severe balance or dizziness problems who have tried appropriate treatments (age-adjusted percent, ages 18 and over)	24.4	2008	26.6	2016	26.8	91.7	...	No
